Layer,MAE
input_1,-1.0
conv2d_1,0.01034795006992479
conv2d_2,0.023041712452148626
max_pooling2d_1,-1.0
conv2d_3,0.026391369187823945
conv2d_4,0.03219037217592698
max_pooling2d_2,-1.0
conv2d_5,0.03247372725151618
conv2d_6,0.03820262408218546
max_pooling2d_3,-1.0
conv2d_7,0.04120929265903539
conv2d_8,0.022352061788010098
max_pooling2d_4,-1.0
conv2d_9,0.016119739095529252
up_sampling2d_1,-1.0
conv2d_10,0.007709801952559108
conv2d_11,0.008345409394927387
concatenate_1,-1.0
conv2d_12,0.009307146747933807
up_sampling2d_2,-1.0
conv2d_13,0.010855004760772651
conv2d_14,0.01919667403684918
concatenate_2,-1.0
conv2d_15,0.023651098610006704
up_sampling2d_3,-1.0
conv2d_16,0.021798305983921778
conv2d_17,0.023656103126814425
concatenate_3,-1.0
conv2d_18,0.02502735395985091
up_sampling2d_4,-1.0
conv2d_19,0.019535783485189653
conv2d_20,0.02319331618947727
concatenate_4,-1.0
conv2d_21,0.023581641827916198
conv2d_22,0.010636216599373761
