Layer,MAE
input_1,-1.0
conv2d_1,0.016521929858476544
conv2d_2,0.08306712740434305
max_pooling2d_1,-1.0
conv2d_3,0.0806387135348316
conv2d_4,0.07874151871748866
max_pooling2d_2,-1.0
conv2d_5,0.07569932179986336
conv2d_6,0.07466010816938644
max_pooling2d_3,-1.0
conv2d_7,0.052284290824584884
conv2d_8,0.04481271301083364
max_pooling2d_4,-1.0
conv2d_9,0.039809673653186196
up_sampling2d_1,-1.0
conv2d_10,0.0005151371069350078
conv2d_11,0.00021015603402403543
concatenate_1,-1.0
conv2d_12,0.00027231226017559995
up_sampling2d_2,-1.0
conv2d_13,0.00037335415354219817
conv2d_14,0.03882267869732866
concatenate_2,-1.0
conv2d_15,0.03769013604955517
up_sampling2d_3,-1.0
conv2d_16,0.04310749150436503
conv2d_17,0.0510243950840019
concatenate_3,-1.0
conv2d_18,0.05043359870347387
up_sampling2d_4,-1.0
conv2d_19,0.0535025228165737
conv2d_20,0.061306357309506336
concatenate_4,-1.0
conv2d_21,0.06610750403642934
conv2d_22,0.011903285151586514
